date,dv_value,adherence,currentEpxeriment
13.07.2019,2.0,did,Hours Slept and Energy Level
14.07.2019,2.0,did,Hours Slept and Energy Level
15.07.2019,4.0,didn't,Hours Slept and Energy Level
17.07.2019,2.5,didn't,Hours Slept and Energy Level
18.07.2019,2.0,did,Hours Slept and Energy Level
20.07.2019,2.0,didn't,Hours Slept and Energy Level
21.07.2019,2.5,did,Hours Slept and Energy Level
22.07.2019,3.0,did,Hours Slept and Energy Level
23.07.2019,2.5,did,Hours Slept and Energy Level
24.07.2019,1.6666666666666667,didn't,Hours Slept and Energy Level
25.07.2019,3.5,did,Hours Slept and Energy Level
